source,ref,label,split
dermnet,test/Acne and Rosacea Photos/07PerioralDermEye.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/07Rhinophyma1.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/07RosaceaFulFAce.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/07RosaceaMilia0120.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/07RosaceaOK0828063.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/07SteroidPerioral.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/07SteroidPerioral1.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/07VascularFace0120.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/07rhnophymas0321051.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/07sebDerem1101051.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/08PerioralDerm1.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/ComedonesEars-1.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/Forest-2.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/Hidradenitis-Suppurativa-Areola-2.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/Sebaceous-glands-Areola-4.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-003.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-1.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-13.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-15.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-16.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-2.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-21.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-22.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-24.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-25.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-26.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-28.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-29.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-3.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-31.jpg,acne,val
