source,zip,inner_zip,entry,label,split,crc32,size
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/07PerioralDermEye.jpg,acne,val,dab64696,87790
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/07Rhinophyma1.jpg,acne,val,6190c6ae,84147
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/07RosaceaFulFAce.jpg,acne,val,cba72287,105863
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/07RosaceaMilia0120.jpg,acne,val,6ba59e33,97255
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/07RosaceaOK0828063.jpg,acne,val,57c53a88,88737
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/07SteroidPerioral.jpg,acne,val,72b455b3,95516
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/07SteroidPerioral1.jpg,acne,val,3e77a250,95102
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/07VascularFace0120.jpg,acne,val,67285405,112954
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/07rhnophymas0321051.jpg,acne,val,0122f4ae,69256
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/07sebDerem1101051.jpg,acne,val,6878abd4,92145
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/08PerioralDerm1.jpg,acne,val,64062aa6,99420
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/ComedonesEars-1.jpg,acne,val,b1637956,85695
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/Forest-2.jpg,acne,val,1c554880,462740
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/Hidradenitis-Suppurativa-Areola-2.jpg,acne,val,03f12818,109662
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/Sebaceous-glands-Areola-4.jpg,acne,val,a0a0935a,69455
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-003.jpg,acne,val,715091e3,94013
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-1.jpg,acne,val,1808db8d,104551
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-13.jpg,acne,val,7e5ea859,103105
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-15.jpg,acne,val,955b17a5,64105
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-16.jpg,acne,val,edbfeabe,60129
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-2.jpg,acne,val,f45166d2,67221
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-21.jpg,acne,val,09c4e3d7,99620
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-22.jpg,acne,val,23f9f05f,125774
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-24.jpg,acne,val,3e414526,127910
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-25.jpg,acne,val,9bc6bba3,125526
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-26.jpg,acne,val,6570895b,135379
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-28.jpg,acne,val,633a5715,81249
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-29.jpg,acne,val,b6909e28,76183
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-3.jpg,acne,val,fb239197,60848
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-31.jpg,acne,val,01c6ddaf,65264
dermnet,archive (1).zip,,test/Acne and Rosacea Photos/acne-closed-comedo-36.jpg,acne,val,70fd052f,104666
